ML1G000200	KOG4535
ML2G327300	KOG4748
ML2G327800	KOG2933
ML2G328200	KOG0778
ML2G328400	KOG1727
ML2G328600	KOG0714
ML2G329500	KOG3430
ML2G329800	KOG1347
ML2G330100	KOG4178
ML2G330300	KOG4178
ML2G330500	KOG1493
ML2G330500	KOG4172
ML2G331500	KOG0698
ML2G331600	KOG2088
ML2G331700	KOG4547
ML2G332500	KOG1601
ML2G333400	KOG2880
ML2G334300	KOG0014
ML2G334500	KOG2175
ML2G334700	KOG1282
ML2G334800	KOG0265
ML2G334800	KOG0296
ML2G334800	KOG1332
ML2G335200	KOG0428
ML2G336200	KOG1187
ML2G336500	KOG0776
ML2G336700	KOG0192
ML2G336800	KOG3450
ML2G337200	KOG0157
ML2G337500	KOG0027
ML2G337600	KOG3176
ML2G338400	KOG0144
ML2G338900	KOG1699
ML2G339000	KOG4455
ML2G339200	KOG0720
ML2G339800	KOG0626
ML2G339900	KOG1187
ML2G340100	KOG0143
ML2G340200	KOG0048
ML2G340900	KOG1809
ML2G341200	KOG2505
ML2G341600	KOG1901
ML2G341800	KOG0254
ML2G341900	KOG0854
ML2G342000	KOG0243
ML2G342100	KOG1271
ML2G342400	KOG1187
ML2G342600	KOG3141
ML2G342900	KOG1666
ML2G343300	KOG1187
ML2G343900	KOG2726
ML2G344700	KOG3386
ML2G344800	KOG3386
ML2G345300	KOG4658
ML2G346200	KOG1192
ML2G346500	KOG0753
ML2G346800	KOG1624
ML2G347700	KOG0724
ML2G348500	KOG1187
ML2G349300	KOG3135
ML2G349400	KOG3150
ML2G349500	KOG0764
ML2G349600	KOG2258
ML2G349800	KOG4328
ML2G350500	KOG2855
ML2G350600	KOG2401
ML2G350900	KOG0880
ML2G351200	KOG0082
ML2G351300	KOG0234
ML2G351800	KOG1606
ML2G352500	KOG0192
ML2G352600	KOG1752
ML2G352700	KOG0390
ML2G353900	KOG2053
ML2G354000	KOG2273
ML2G354500	KOG4206
ML2G354600	KOG0143
ML2G355200	KOG2553
ML2G355800	KOG0583
ML2G355900	KOG0583
ML2G356300	KOG1192
ML2G356500	KOG0584
ML2G357100	KOG0869
ML2G357200	KOG0869
ML2G357300	KOG0869
ML2G357400	KOG1768
ML2G357800	KOG1205
ML2G358000	KOG0156
ML2G358100	KOG1584
ML2G358300	KOG0156
ML2G358400	KOG2118
ML2G358500	KOG0156
ML2G359300	KOG0698
ML2G359400	KOG1187
ML2G359500	KOG1187
ML2G359700	KOG4467
ML2G359900	KOG0123
ML2G360000	KOG1187
ML2G360100	KOG2300
ML2G360200	KOG1792
ML2G360400	KOG3280
ML2G360600	KOG3349
ML2G360900	KOG4172
ML2G361000	KOG3275
ML2G361100	KOG2966
ML2G361200	KOG4561
ML2G361500	KOG3296
ML2G361700	KOG4658
ML2G361800	KOG4658
ML2G362400	KOG1339
ML2G363000	KOG0149
ML2G363300	KOG1187
ML2G363900	KOG2793
ML2G364000	KOG0048
ML2G364200	KOG0045
ML2G364400	KOG3903
ML2G364500	KOG4826
ML2G364900	KOG0027
ML2G365200	KOG3309
ML2G365300	KOG1990
ML2G365800	KOG2718
ML2G366000	KOG4658
ML2G366700	KOG2352
ML2G366800	KOG0143
ML2G367600	KOG0087
ML2G367700	KOG4658
ML2G368000	KOG4293
ML2G368700	KOG1187
ML2G369000	KOG3275
ML2G369100	KOG4642
ML2G369300	KOG4488
ML2G369600	KOG0543
ML2G369900	KOG1198
ML2G370200	KOG1192
ML2G370400	KOG1187
ML2G370500	KOG1187
ML2G370600	KOG2698
ML2G370800	KOG3106
ML2G371100	KOG0116
ML2G372000	KOG1962
ML2G372100	KOG2459
ML2G372200	KOG4374
ML2G372700	KOG0446
ML2G373000	KOG4282
ML2G373400	KOG0537
ML2G374000	KOG3002
ML2G374100	KOG1249
ML2G374200	KOG1485
ML2G374400	KOG2788
ML2G375800	KOG0419
ML2G376200	KOG4658
ML2G377700	KOG1287
ML2G377800	KOG1743
ML2G378100	KOG4172
ML2G378400	KOG0417
ML2G378500	KOG4207
ML2G379200	KOG0759
ML2G379300	KOG2640
ML2G379400	KOG0471
ML2G379500	KOG3387
ML2G381400	KOG1187
ML2G381600	KOG3302
ML2G381700	KOG3302
ML2G381800	KOG0472
ML2G382000	KOG2397
ML2G382200	KOG0320
ML2G382700	KOG3074
ML2G383000	KOG3200
ML2G383200	KOG0769
ML2G383300	KOG1235
ML2G383500	KOG0027
ML2G383600	KOG1505
ML2G384100	KOG1187
ML2G384500	KOG1192
ML2G384600	KOG4666
ML2G384700	KOG0580
ML2G385100	KOG2930
ML2G385800	KOG1379
ML2G385900	KOG0157
ML2G386000	KOG1497
ML2G386100	KOG3370
ML2G386500	KOG1470
ML2G386700	KOG1509
ML2G386800	KOG3071
ML2G386900	KOG3071
ML2G387000	KOG0254
ML2G388500	KOG0853
ML2G388600	KOG2507
ML2G388700	KOG2766
ML2G389400	KOG2056
ML2G389900	KOG4569
ML2G390100	KOG0752
ML2G390400	KOG0156
ML2G390500	KOG0156
ML2G390600	KOG1303
ML2G390700	KOG4658
ML2G390900	KOG1575
ML2G391000	KOG1575
ML2G391100	KOG1339
ML2G391400	KOG1187
ML2G392200	KOG0126
ML2G392300	KOG2327
ML2G392600	KOG1591
ML2G392700	KOG3089
ML2G392900	KOG0087
ML2G393200	KOG3418
ML2G393600	KOG1187
ML2G393900	KOG2920
ML2G394000	KOG0627
ML2G394300	KOG1192
ML2G395000	KOG2922
ML2G395200	KOG2352
ML2G395400	KOG2352
ML2G395700	KOG2352
ML2G396200	KOG2352
ML2G396500	KOG2352
ML2G396700	KOG2329
ML2G397500	KOG4567
ML2G397600	KOG2896
ML2G397700	KOG2699
ML2G399400	KOG1303
ML2G400200	KOG0446
ML2G401500	KOG0082
ML2G402000	KOG0537
ML2G402200	KOG3204
ML2G402500	KOG0027
ML2G402600	KOG1818
ML2G403200	KOG1378
ML2G403300	KOG3106
ML2G403900	KOG1187
ML2G404000	KOG1187
ML2G404400	KOG1187
ML2G407500	KOG0155
ML2G408400	KOG1969
ML2G409900	KOG1378
ML2G410100	KOG3222
ML2G410900	KOG1187
ML2G411100	KOG0799
ML2G411300	KOG1399
ML2G411800	KOG1615
ML2G411800	KOG3085
ML2G411900	KOG0048
ML2G412100	KOG1082
ML2G412200	KOG3178
ML2G413600	KOG0116
ML2G414100	KOG0901
ML2G414300	KOG1670
ML2G416200	KOG3485
ML2G416500	KOG3387
ML2G416700	KOG0320
ML2G416700	KOG4172
ML2G416900	KOG1575
ML2G417100	KOG1339
ML2G417500	KOG0032
ML2G418600	KOG3180
ML2G418800	KOG0143
ML2G418900	KOG0143
ML2G419000	KOG0143
ML2G419300	KOG0143
ML2G419600	KOG0582
ML2G421100	KOG2761
ML2G421500	KOG2481
ML2G421800	KOG2662
ML2G422200	KOG4484
ML2G422900	KOG1429
ML2G423000	KOG2323
ML2G423100	KOG0070
ML2G423200	KOG0027
ML2G423300	KOG0867
ML2G423500	KOG0198
ML2G423700	KOG1692
ML2G423800	KOG1515
ML2G423900	KOG2225
ML2G424200	KOG2322
ML2G424300	KOG1873
ML2G424500	KOG1628
ML2G425700	KOG0962
ML2G425700	KOG0964
ML2G425800	KOG2624
ML2G425900	KOG1171
ML2G426100	KOG0192
ML2G426400	KOG0565
ML2G427000	KOG2352
ML2G427200	KOG4174
ML2G428900	KOG3143
ML2G429300	KOG1470
ML2G429600	KOG1109
ML2G430100	KOG0834
ML2G430500	KOG3925
ML2G430600	KOG0698
ML2G430700	KOG0156
ML2G430800	KOG0156
ML2G430900	KOG0156
ML2G431000	KOG0156
ML2G431100	KOG0769
ML2G431400	KOG0769
ML2G431500	KOG0769
ML2G431800	KOG0769
ML2G432000	KOG0769
ML2G432400	KOG0769
ML2G432500	KOG0769
ML2G432700	KOG0769
ML2G432800	KOG0769
ML2G433000	KOG0769
ML2G433400	KOG0541
ML2G433500	KOG1210
ML2G433900	KOG1603
ML2G434000	KOG3140
ML2G434200	KOG4840
ML2G434400	KOG2612
ML2G434600	KOG3043
ML2G434700	KOG3043
ML2G434900	KOG0707
ML2G435000	KOG1552
ML2G435400	KOG0788
ML2G435500	KOG0838
ML2G435600	KOG1134
ML2G436100	KOG4207
ML2G436200	KOG3454
ML2G436400	KOG0692
ML2G438400	KOG1187
ML2G438600	KOG1752
ML2G438700	KOG1752
ML2G438800	KOG1752
ML2G439100	KOG1019
ML2G439300	KOG2166
ML2G439800	KOG0869
ML2G440300	KOG0752
ML2G440900	KOG4748
ML2G441000	KOG2916
ML2G441300	KOG1187
ML2G441400	KOG1683
ML2G441500	KOG3430
ML2G441700	KOG1535
ML2G441900	KOG2359
ML2G443200	KOG2050
ML2G443300	KOG1603
ML2G443800	KOG0048
ML2G444600	KOG2175
ML2G444800	KOG3116
ML2G444900	KOG1282
ML2G445400	KOG1187
ML2G445700	KOG0192
ML2G445800	KOG0417
ML2G445900	KOG0417
ML2G445900	KOG0423
ML2G446000	KOG0417
ML2G446000	KOG0423
ML2G446300	KOG3313
ML2G446600	KOG0631
ML2G447500	KOG0048
ML2G447700	KOG1950
ML2G448100	KOG0698
ML2G448200	KOG2287
ML2G448400	KOG0765
ML2G448500	KOG0254
ML2G448800	KOG1786
ML2G449200	KOG1187
ML2G449300	KOG1187
ML2G449500	KOG0519
ML2G449600	KOG1861
ML2G449700	KOG0583
ML3G000200	KOG1636
ML3G000700	KOG2234
ML3G000800	KOG1413
ML3G001000	KOG1187
ML3G001100	KOG0114
ML3G001600	KOG0010
ML3G001800	KOG0037
ML3G002000	KOG0235
ML3G002300	KOG1347
ML3G002400	KOG4757
ML3G002600	KOG1203
ML3G002800	KOG1187
ML3G003100	KOG0390
ML3G003200	KOG0390
ML3G004600	KOG1303
ML3G004700	KOG1303
ML3G005100	KOG1187
ML3G005200	KOG3223
ML3G005500	KOG4732
ML3G005600	KOG1947
ML3G005700	KOG0192
ML3G006100	KOG1334
ML3G006200	KOG2816
ML3G006300	KOG2816
ML3G006400	KOG2816
ML3G006500	KOG2816
ML3G006600	KOG2816
ML3G006700	KOG1269
ML3G006800	KOG0907
ML3G007200	KOG1287
ML3G007300	KOG2085
ML3G007500	KOG0029
ML3G007800	KOG0700
ML3G008100	KOG0147
ML3G008400	KOG0540
ML3G008600	KOG3444
ML3G008700	KOG2609
ML3G008800	KOG0223
ML3G008900	KOG4683
ML3G009000	KOG0045
ML3G009100	KOG1724
ML3G009200	KOG4683
ML3G009300	KOG1724
ML3G009400	KOG1724
ML3G009500	KOG1724
ML3G009700	KOG1100
ML3G009800	KOG1603
ML3G010200	KOG1187
ML3G010300	KOG0393
ML3G010600	KOG1030
ML3G010800	KOG0048
ML3G010900	KOG0183
ML3G011000	KOG1303
ML3G011300	KOG1735
ML3G012000	KOG1303
ML3G012200	KOG2912
ML3G012300	KOG4306
ML3G013400	KOG1211
ML3G013500	KOG1211
ML3G013800	KOG2922
ML3G014100	KOG4833
ML3G014500	KOG3259
ML3G014900	KOG3149
ML3G020100	KOG3156
ML3G020300	KOG3106
ML3G020400	KOG2477
ML3G020500	KOG1661
ML3G020900	KOG1643
ML3G021000	KOG2894
ML3G021100	KOG1631
ML3G021400	KOG1190
ML3G021700	KOG1816
ML3G021900	KOG3466
ML3G022000	KOG0242
ML3G022600	KOG1946
ML3G023000	KOG1347
ML3G023100	KOG1347
ML3G023300	KOG2517
ML3G023400	KOG0242
ML3G023500	KOG1192
ML3G024600	KOG0266
ML3G024800	KOG0773
ML3G025200	KOG2951
ML3G025600	KOG0691
ML3G025800	KOG1471
ML3G025900	KOG1471
ML3G026200	KOG1767
ML3G026300	KOG3187
ML3G026400	KOG1322
ML3G026900	KOG1319
ML3G027400	KOG1187
ML3G027600	KOG4600
ML3G027700	KOG3256
ML3G028100	KOG1187
ML3G028400	KOG0286
ML3G028700	KOG1187
ML3G028800	KOG0394
ML3G028900	KOG1279
ML3G029000	KOG1279
ML3G029200	KOG3164
ML3G029300	KOG0840
ML3G029400	KOG2818
ML3G030000	KOG2355
ML3G030200	KOG0254
ML3G030900	KOG0324
ML3G031100	KOG2307
ML3G031500	KOG1505
ML3G031800	KOG1347
ML3G032000	KOG1203
ML3G032100	KOG1271
ML3G032200	KOG1815
ML3G033200	KOG0266
ML3G033400	KOG0082
ML3G034800	KOG0243
ML3G034900	KOG4354
ML3G035000	KOG0583
ML3G035200	KOG1946
ML3G035600	KOG4199
ML3G035800	KOG0032
ML3G036000	KOG0150
ML3G037200	KOG4658
ML3G037700	KOG0123
ML3G037700	KOG0145
ML3G037900	KOG1515
ML3G038000	KOG1515
ML3G038200	KOG1515
ML3G038300	KOG1515
ML3G038400	KOG1515
ML3G038500	KOG1515
ML3G038700	KOG2521
ML3G039300	KOG4169
ML3G040100	KOG0027
ML3G040600	KOG1607
ML3G040700	KOG0157
ML3G041000	KOG2619
ML3G041500	KOG0910
ML3G041700	KOG1187
ML3G042200	KOG1356
ML3G042300	KOG1237
ML3G042400	KOG1663
ML3G042600	KOG1753
ML3G042700	KOG1853
ML3G042900	KOG0123
ML3G043600	KOG1543
ML3G043700	KOG2283
ML3G043800	KOG1030
ML3G044600	KOG2639
ML3G044800	KOG1187
ML3G045000	KOG2983
ML3G045100	KOG1792
ML3G045300	KOG3206
ML3G045400	KOG0048
ML3G045500	KOG0023
ML3G045600	KOG1192
ML3G045700	KOG2624
ML3G046600	KOG3224
ML3G046700	KOG0654
ML3G046800	KOG4299
ML3G047000	KOG1187
ML3G047500	KOG2444
ML3G047800	KOG0268
ML3G047800	KOG0531
ML3G047800	KOG1407
ML3G048500	KOG0700
ML3G048900	KOG1944
ML3G049100	KOG1287
ML3G049200	KOG3355
ML3G050000	KOG3463
ML3G050300	KOG1584
ML3G050400	KOG3970
ML3G051700	KOG0656
ML3G052000	KOG1282
ML3G052300	KOG3383
ML3G053600	KOG2323
ML3G054100	KOG0014
ML3G054200	KOG0014
ML3G054300	KOG0014
ML3G054800	KOG3017
ML3G055400	KOG3017
ML3G056700	KOG2118
ML3G056800	KOG1745
ML3G057000	KOG0257
ML3G057300	KOG1454
ML3G057900	KOG1576
ML3G058000	KOG0509
ML3G058100	KOG1626
ML3G058200	KOG0113
ML3G058300	KOG1330
ML3G058400	KOG4658
ML3G058500	KOG4658
ML3G058600	KOG4658
ML3G058800	KOG1650
ML3G059100	KOG2817
ML3G059400	KOG4754
ML3G059500	KOG1211
ML3G060000	KOG1926
ML3G060500	KOG4658
ML3G060600	KOG0014
ML3G060800	KOG0014
ML3G061000	KOG1187
ML3G061200	KOG1187
ML3G061300	KOG1187
ML3G061500	KOG1187
ML3G061700	KOG2450
ML3G061800	KOG4168
ML3G061900	KOG2450
ML3G062000	KOG1726
ML3G062100	KOG1726
ML3G062300	KOG3179
ML3G062400	KOG4090
ML3G062700	KOG1339
ML3G062800	KOG1021
ML3G063100	KOG2190
ML3G063700	KOG4549
ML3G065600	KOG3246
ML3G065700	KOG0014
ML3G066400	KOG1578
ML3G067000	KOG0544
ML3G067600	KOG0032
ML3G067800	KOG0143
ML3G068000	KOG0143
ML3G068100	KOG0143
ML3G068200	KOG1493
ML3G068500	KOG1284
ML3G069100	KOG0438
ML3G069600	KOG1540
ML3G069700	KOG4581
ML3G069800	KOG0061
ML3G069900	KOG4209
ML3G070200	KOG1001
ML3G070200	KOG1002
ML3G070400	KOG1192
ML3G070500	KOG1192
ML3G070600	KOG1192
ML3G070700	KOG1203
ML3G070900	KOG1546
ML3G071000	KOG1546
ML3G071100	KOG1546
ML3G071300	KOG1454
ML3G071400	KOG1211
ML3G071500	KOG0698
ML3G071700	KOG1871
ML3G071700	KOG1872
ML3G072100	KOG2950
ML3G072300	KOG2049
ML3G072500	KOG2667
ML3G072800	KOG1187
ML3G073000	KOG4688
ML3G073300	KOG1379
ML3G073600	KOG1603
ML3G073700	KOG2730
ML3G073800	KOG1267
ML3G074100	KOG1187
ML3G074800	KOG0029
ML3G074900	KOG0446
ML3G075200	KOG0251
ML3G075500	KOG4473
ML3G075600	KOG0483
ML3G075700	KOG4763
ML3G076100	KOG2502
ML3G077300	KOG3756
ML3G077500	KOG0995
ML3G077700	KOG1849
ML3G077800	KOG0816
ML3G077900	KOG4325
ML3G078000	KOG1893
ML3G079400	KOG1691
ML3G079600	KOG4214
ML3G079800	KOG0229
ML3G080000	KOG0409
ML3G080200	KOG1208
ML3G080600	KOG1187
ML3G080700	KOG2840
ML3G080900	KOG1187
ML3G081000	KOG2840
ML3G081100	KOG1187
ML3G081200	KOG2840
ML3G081300	KOG1187
ML3G081400	KOG2840
ML3G081600	KOG4438
ML3G082300	KOG0157
ML3G082600	KOG2770
ML3G082800	KOG1187
ML3G083100	KOG0498
ML3G083700	KOG2598
ML3G083800	KOG0583
ML3G084500	KOG4308
ML3G086600	KOG4658
ML3G087000	KOG2922
ML3G087200	KOG2358
ML3G087500	KOG2357
ML3G087700	KOG2944
ML3G087800	KOG2606
ML3G088000	KOG1176
ML3G088600	KOG4658
ML3G088800	KOG4393
ML3G089000	KOG4282
ML3G089200	KOG1082
ML3G089700	KOG1901
ML3G089800	KOG1187
ML3G089900	KOG1187
ML3G090600	KOG1543
ML3G090700	KOG1001
ML3G090700	KOG1002
ML3G090800	KOG1543
ML3G091100	KOG1493
ML3G091700	KOG0710
ML3G093000	KOG0134
ML3G093100	KOG0087
ML3G093200	KOG0084
ML3G093400	KOG3453
ML3G093500	KOG0584
ML3G093700	KOG0198
ML3G093800	KOG1946
ML3G093900	KOG0683
ML3G094500	KOG0725
ML3G094600	KOG1996
ML3G094900	KOG4593
ML3G095300	KOG4249
ML3G095600	KOG1052
ML3G095700	KOG0128
ML3G095900	KOG0710
ML3G096100	KOG0014
ML3G096300	KOG1632
ML3G096500	KOG1191
ML3G097100	KOG3173
ML3G097200	KOG2517
ML3G097600	KOG3022
ML3G097700	KOG1502
ML3G097800	KOG2761
ML3G098200	KOG1187
ML3G098300	KOG1187
ML3G098400	KOG0039
ML3G100200	KOG0331
ML3G100300	KOG2641
ML3G101300	KOG3860
ML3G101600	KOG1237
ML3G102000	KOG0048
ML3G102200	KOG4304
ML3G102300	KOG0059
ML3G102400	KOG1549
ML3G102500	KOG1339
ML3G102700	KOG0014
ML3G103300	KOG2464
ML3G103400	KOG1187
ML3G103500	KOG1102
ML3G104800	KOG4473
ML3G105200	KOG1947
ML3G105700	KOG0376
ML3G106000	KOG2847
ML3G106100	KOG0239
ML3G106500	KOG0131
ML3G106800	KOG0027
ML3G107200	KOG1609
ML3G107600	KOG1784
ML3G108400	KOG2764
ML3G108500	KOG0029
ML3G108600	KOG0092
ML3G108900	KOG0867
ML3G109000	KOG1459
ML3G109200	KOG0853
ML3G109300	KOG2287
ML3G109600	KOG0406
ML3G109700	KOG2976
ML3G109900	KOG0255
ML3G110200	KOG0831
ML3G110700	KOG1238
ML3G110800	KOG1187
ML3G111300	KOG4207
ML3G111400	KOG0483
ML3G111700	KOG1235
ML3G112600	KOG0004
ML3G112600	KOG0005
ML3G112700	KOG2888
ML3G113000	KOG4067
ML3G113400	KOG1187
ML3G114100	KOG1138
ML3G114200	KOG3032
ML3G114400	KOG2657
ML3G115000	KOG1339
ML3G115700	KOG2025
ML3G115800	KOG2839
ML3G116400	KOG1187
ML3G116600	KOG0075
ML3G117200	KOG1187
ML3G117300	KOG1187
ML3G118100	KOG0762
ML3G118300	KOG1422
ML3G118400	KOG0776
ML3G118600	KOG1728
ML3G118900	KOG0023
ML3G119100	KOG3949
ML3G119400	KOG3273
ML3G119800	KOG0589
ML3G119900	KOG1187
ML3G120400	KOG2406
ML3G121200	KOG0239
ML3G121500	KOG2639
ML3G121700	KOG2848
ML3G122000	KOG3299
ML3G122100	KOG1871
ML3G122100	KOG1872
ML3G122200	KOG1871
ML3G122200	KOG1872
ML3G122400	KOG0759
ML3G122700	KOG2257
ML3G122900	KOG0841
ML3G123000	KOG0656
ML3G123100	KOG2440
ML3G123900	KOG1940
ML3G124400	KOG1347
ML3G124500	KOG3078
ML3G124700	KOG0082
ML3G125200	KOG0483
ML3G125500	KOG1745
ML3G125700	KOG0841
ML3G125800	KOG0583
ML3G125900	KOG1646
ML3G126200	KOG0061
ML3G126300	KOG4209
ML3G126900	KOG1187
ML3G127000	KOG0156
ML3G127200	KOG1502
ML3G127400	KOG1502
ML3G127600	KOG1502
ML3G128000	KOG2512
ML3G128200	KOG0752
ML3G128400	KOG0094
ML3G128500	KOG2234
ML3G128700	KOG0819
ML3G129600	KOG0513
ML3G129700	KOG1330
ML3G129900	KOG3049
ML3G130000	KOG0553
ML3G131100	KOG0257
ML3G131200	KOG1263
ML3G131300	KOG0544
ML3G131400	KOG2711
ML3G131600	KOG2416
ML3G131700	KOG2988
ML3G131800	KOG2669
ML3G131900	KOG1209
ML3G132700	KOG0156
ML3G132800	KOG1267
ML3G132900	KOG1187
ML3G133600	KOG0583
ML3G133700	KOG0156
ML3G133900	KOG0156
ML3G134700	KOG1752
ML3G134800	KOG3387
ML3G135000	KOG1589
ML3G135500	KOG2061
ML3G135900	KOG0157
ML3G136000	KOG0157
ML3G136200	KOG0394
ML3G136800	KOG1187
ML3G136900	KOG2880
ML3G137000	KOG1441
ML3G137400	KOG1003
ML3G138000	KOG0147
ML3G138100	KOG0316
ML3G138700	KOG0023
ML3G139300	KOG4280
ML3G139500	KOG2819
ML3G139700	KOG1946
ML3G140000	KOG4172
ML3G140900	KOG3156
ML3G141000	KOG0156
ML3G142300	KOG0264
ML3G142800	KOG1603
ML3G143500	KOG2035
ML3G143700	KOG1157
ML3G143900	KOG0823
ML3G144000	KOG0715
ML3G144100	KOG0455
ML3G144300	KOG1947
ML3G144500	KOG1187
ML3G144600	KOG2344
ML3G144900	KOG0483
ML3G145100	KOG3166
ML3G145300	KOG0725
ML3G145400	KOG1602
ML3G145500	KOG1602
ML3G146200	KOG4173
ML3G146400	KOG3051
ML3G146700	KOG4479
ML3G147400	KOG0472
ML3G147500	KOG2624
ML3G147700	KOG3111
ML3G147800	KOG1187
ML3G147900	KOG0027
ML3G148000	KOG0027
ML3G148400	KOG1267
ML3G148500	KOG2582
ML3G148700	KOG1176
ML3G149000	KOG3327
ML3G149200	KOG1303
ML3G149300	KOG4674
ML3G149500	KOG1303
ML3G149600	KOG3435
ML3G149700	KOG3083
ML3G149800	KOG0657
ML3G150500	KOG1515
ML3G150900	KOG3145
ML3G151100	KOG3049
ML3G151200	KOG0045
ML3G151500	KOG1014
ML3G152300	KOG1396
ML3G153300	KOG1552
ML3G154300	KOG4172
ML3G155500	KOG0192
ML3G155800	KOG1594
ML3G156300	KOG0131
ML3G156400	KOG3566
ML3G156900	KOG1446
ML3G157200	KOG2533
ML3G157900	KOG1441
ML3G158300	KOG3137
ML3G158400	KOG1623
ML3G158500	KOG1336
ML3G158600	KOG1715
ML3G159400	KOG1320
ML3G159900	KOG0483
ML3G160000	KOG2933
ML3G160500	KOG4214
ML3G160600	KOG2056
ML3G161100	KOG4646
ML3G161900	KOG4204
ML3G162300	KOG1187
ML3G162400	KOG1591
ML3G162500	KOG0799
ML3G163200	KOG3141
ML3G163400	KOG0907
ML3G163600	KOG3126
ML3G164200	KOG0419
ML3G164700	KOG3113
ML3G164800	KOG3301
ML3G167400	KOG0053
ML3G167500	KOG1161
ML3G167700	KOG1187
ML3G168000	KOG1666
ML3G168300	KOG0583
ML3G168400	KOG4753
ML3G168900	KOG4546
ML3G169000	KOG0795
ML3G169800	KOG1724
ML3G170600	KOG1187
ML3G171000	KOG3411
ML3G171200	KOG1176
ML3G171500	KOG2450
ML3G171800	KOG2499
ML3G172300	KOG4658
ML3G172600	KOG2499
ML3G172800	KOG2450
ML3G173400	KOG0313
ML3G173500	KOG1454
ML3G173800	KOG1187
ML3G173900	KOG0048
ML3G174200	KOG0116
ML3G174300	KOG0192
ML3G174600	KOG2389
ML3G175100	KOG2753
ML3G175300	KOG0765
ML3G175400	KOG3241
ML3G175600	KOG1441
ML3G175800	KOG0240
ML3G176400	KOG0581
ML3G176800	KOG0381
ML3G176900	KOG2601
ML3G177300	KOG0773
ML3G178200	KOG0989
ML3G178700	KOG0157
ML3G179200	KOG3344
ML3G179500	KOG2767
ML3G179900	KOG4658
ML3G180000	KOG1347
ML3G180400	KOG1187
ML3G180600	KOG3433
ML3G180700	KOG0192
ML3G180700	KOG4412
ML3G180900	KOG0519
ML3G181100	KOG0935
ML3G181400	KOG2884
ML3G181800	KOG3201
ML3G181900	KOG3201
ML3G182200	KOG1543
ML3G182300	KOG1187
ML3G182400	KOG1623
ML3G182600	KOG1543
ML3G182800	KOG0027
ML3G182800	KOG4223
ML3G183400	KOG2325
ML3G183600	KOG3202
ML3G184000	KOG4693
ML3G184500	KOG0114
ML3G184600	KOG1282
ML3G185100	KOG1650
ML3G185500	KOG1594
ML3G186200	KOG1815
ML3G186300	KOG0576
ML3G186900	KOG1485
ML3G187000	KOG3184
ML3G187200	KOG0674
ML3G187400	KOG0674
ML3G187800	KOG0077
ML3G188500	KOG1493
ML3G188700	KOG0542
ML3G188900	KOG0122
ML3G189300	KOG0724
ML3G189500	KOG1260
ML3G189600	KOG1027
ML3G190100	KOG2166
ML3G190900	KOG1977
ML3G191100	KOG1594
ML3G191400	KOG0242
ML3G191800	KOG2352
ML3G192000	KOG0381
ML3G192100	KOG1237
ML3G192200	KOG0114
ML3G192200	KOG4307
ML3G192300	KOG1187
ML3G192400	KOG1724
ML3G192800	KOG0254
ML3G193400	KOG3344
ML3G193500	KOG0192
ML3G194400	KOG1347
ML3G194500	KOG1339
ML3G194800	KOG1187
ML3G195400	KOG2767
ML3G195500	KOG2767
ML3G195900	KOG4795
ML3G196000	KOG0840
ML3G196100	KOG3002
ML3G196400	KOG0381
ML3G196500	KOG1603
ML3G196600	KOG1603
ML3G196700	KOG3937
ML3G197600	KOG1676
ML3G197700	KOG0027
ML3G197700	KOG4223
ML3G197800	KOG1970
ML3G198100	KOG3402
ML3G198700	KOG0198
ML3G198800	KOG2359
ML3G199000	KOG2240
ML3G199300	KOG4473
ML3G199600	KOG1187
ML3G200300	KOG2495
ML3G200500	KOG1623
ML3G200600	KOG1623
ML3G200700	KOG1356
ML3G201100	KOG2159
ML3G201200	KOG2159
ML3G201800	KOG0152
ML3G202200	KOG1591
ML3G202500	KOG0032
ML3G202800	KOG0752
ML3G203000	KOG3030
ML3G203200	KOG1187
ML3G203300	KOG1187
ML3G203600	KOG2824
ML3G203800	KOG1187
ML3G203900	KOG1187
ML3G204000	KOG1187
ML3G204200	KOG1187
ML3G204300	KOG1187
ML3G204600	KOG2255
ML3G205400	KOG3320
ML3G205500	KOG1187
ML3G205900	KOG1051
ML3G206100	KOG1455
ML3G206300	KOG2366
ML3G206700	KOG2190
ML3G206900	KOG0011
ML3G207400	KOG0841
ML3G207500	KOG1187
ML3G207700	KOG0254
ML3G208200	KOG0776
ML3G208400	KOG1192
ML3G208500	KOG3135
ML3G208600	KOG0471
ML3G208800	KOG0166
ML3G208800	KOG1030
ML3G208900	KOG0166
ML3G208900	KOG1030
ML3G209500	KOG3094
ML3G209700	KOG0131
ML3G209700	KOG4400
ML3G209800	KOG0131
ML3G210400	KOG1187
ML3G211100	KOG0059
ML3G211200	KOG1187
ML3G211300	KOG0390
ML3G211900	KOG3227
ML3G212300	KOG2793
ML3G212700	KOG3437
ML3G212900	KOG2938
ML3G214500	KOG4658
ML3G215000	KOG2798
ML3G215800	KOG4658
ML3G215900	KOG2288
ML3G216100	KOG0682
ML3G216200	KOG0682
ML3G216700	KOG1493
ML3G216800	KOG0032
ML3G217500	KOG1427
ML3G217600	KOG0513
ML3G217800	KOG2325
ML3G218300	KOG3134
ML3G218700	KOG1339
ML3G218800	KOG1187
ML3G219300	KOG0143
ML3G219400	KOG0869
ML3G220300	KOG1844
